Plot Title: 9730047			
#	"Date Time, GMT-07:00"	"AC Curr, Amps (LGR S/N: 9730047, SEN S/N: 9730047)"	End Of File (LGR S/N: 9730047)
1	7/6/2016 11:20	0.005	0
2	7/6/2016 11:23	0.01	0
3	7/6/2016 11:26	0.015	0
4	7/6/2016 11:29	0.01	0
5	7/6/2016 11:32	0.01	0
6	7/6/2016 11:35	0.01	0
7	7/6/2016 11:38	0.01	0
8	7/6/2016 11:41	0.01	0
9	7/6/2016 11:44	0.01	0
10	7/6/2016 11:47	0.01	0
11	7/6/2016 11:50	0.01	0
12	7/6/2016 11:53	0.01	0
13	7/6/2016 11:56	0.01	0
14	7/6/2016 11:59	0.01	0
15	7/6/2016 12:02	0.01	0
16	7/6/2016 12:05	0.01	0
17	7/6/2016 12:08	0.01	0
18	7/6/2016 12:11	0.01	0
19	7/6/2016 12:14	0.01	0
20	7/6/2016 12:17	0.01	0
21	7/6/2016 12:20	0.01	0
22	7/6/2016 12:23	0.01	0
23	7/6/2016 12:26	0.01	0
24	7/6/2016 12:29	0.01	0
25	7/6/2016 12:32	0.01	0
26	7/6/2016 12:35	0.01	0
27	7/6/2016 12:38	0.01	0
28	7/6/2016 12:41	0.01	0
29	7/6/2016 12:44	0.01	0
30	7/6/2016 12:47	0.01	0
31	7/6/2016 12:50	0.01	0
32	7/6/2016 12:53	0.01	0
33	7/6/2016 12:56	0.01	0
34	7/6/2016 12:59	0.01	0
35	7/6/2016 13:02	0.01	0
36	7/6/2016 13:05	0.01	0
37	7/6/2016 13:08	0.01	0
38	7/6/2016 13:11	0.01	0
39	7/6/2016 13:14	0.01	0
40	7/6/2016 13:17	0.01	0
41	7/6/2016 13:20	0.01	0
42	7/6/2016 13:23	0.01	0
43	7/6/2016 13:26	0.01	0
44	7/6/2016 13:29	0.01	0
45	7/6/2016 13:32	0.01	0
46	7/6/2016 13:35	0.01	0
47	7/6/2016 13:38	0.01	0
48	7/6/2016 13:41	0.01	0
49	7/6/2016 13:44	0.01	0
50	7/6/2016 13:47	0.01	0
51	7/6/2016 13:50	0.01	0
52	7/6/2016 13:53	0.01	0
53	7/6/2016 13:56	0.01	0
54	7/6/2016 13:59	0.01	0
55	7/6/2016 14:02	0.01	0
56	7/6/2016 14:05	0.01	0
57	7/6/2016 14:08	0.01	0
58	7/6/2016 14:11	0.01	0
59	7/6/2016 14:14	0.01	0
60	7/6/2016 14:17	0.01	0
61	7/6/2016 14:20	0.01	0
62	7/6/2016 14:23	0.01	0
63	7/6/2016 14:26	0.01	0
64	7/6/2016 14:29	0.01	0
65	7/6/2016 14:32	0.01	0
66	7/6/2016 14:35	0.01	0
67	7/6/2016 14:38	0.01	0
68	7/6/2016 14:41	0.01	0
69	7/6/2016 14:44	0.01	0
70	7/6/2016 14:47	0.01	0
71	7/6/2016 14:50	0.01	0
72	7/6/2016 14:53	0.01	0
73	7/6/2016 14:56	0.01	0
74	7/6/2016 14:59	0.01	0
75	7/6/2016 15:02	0.01	0
76	7/6/2016 15:05	0.01	0
77	7/6/2016 15:08	0.01	0
78	7/6/2016 15:11	0.01	0
79	7/6/2016 15:14	0.01	0
80	7/6/2016 15:17	0.01	0
81	7/6/2016 15:20	0.01	0
82	7/6/2016 15:23	0.01	0
83	7/6/2016 15:26	0.01	0
84	7/6/2016 15:29	0.01	0
85	7/6/2016 15:32	0.01	0
86	7/6/2016 15:35	0.01	0
87	7/6/2016 15:38	0.01	0
88	7/6/2016 15:41	0.01	0
89	7/6/2016 15:44	0.01	0
90	7/6/2016 15:47	0.01	0
91	7/6/2016 15:50	0.01	0
92	7/6/2016 15:53	0.01	0
93	7/6/2016 15:56	0.01	0
94	7/6/2016 15:59	0.01	0
95	7/6/2016 16:02	0.01	0
96	7/6/2016 16:05	0.01	0
97	7/6/2016 16:08	0.01	0
98	7/6/2016 16:11	0.01	0
99	7/6/2016 16:14	0.01	0
100	7/6/2016 16:17	0.01	0
101	7/6/2016 16:20	0.01	0
102	7/6/2016 16:23	0.01	0
103	7/6/2016 16:26	0.01	0
104	7/6/2016 16:29	0.01	0
105	7/6/2016 16:32	0.01	0
106	7/6/2016 16:35	0.01	0
107	7/6/2016 16:38	0.01	0
108	7/6/2016 16:41	0.01	0
109	7/6/2016 16:44	10.11	1.32
110	7/6/2016 16:47	10.344	1.32
111	7/6/2016 16:50	10.427	1.32
112	7/6/2016 16:53	10.613	1.32
113	7/6/2016 16:56	0.01	0
114	7/6/2016 16:59	0.01	0
115	7/6/2016 17:02	0.01	0
116	7/6/2016 17:05	0.01	0
117	7/6/2016 17:08	0.01	0
118	7/6/2016 17:11	0.01	0
119	7/6/2016 17:14	0.01	0
120	7/6/2016 17:17	0.01	0
121	7/6/2016 17:20	0.01	0
122	7/6/2016 17:23	9.758	1.32
123	7/6/2016 17:26	10.496	1.32
124	7/6/2016 17:29	10.657	1.32
125	7/6/2016 17:32	10.618	1.32
126	7/6/2016 17:35	0.01	0
127	7/6/2016 17:38	0.01	0
128	7/6/2016 17:41	0.01	0
129	7/6/2016 17:44	0.01	0
130	7/6/2016 17:47	0.01	0
131	7/6/2016 17:50	0.01	0
132	7/6/2016 17:53	0.01	0
133	7/6/2016 17:56	0.01	0
134	7/6/2016 17:59	0.01	0
135	7/6/2016 18:02	0.01	0
136	7/6/2016 18:05	0.01	0
137	7/6/2016 18:08	0.01	0
138	7/6/2016 18:11	9.963	1.32
139	7/6/2016 18:14	10.237	1.32
140	7/6/2016 18:17	10.31	1.32
141	7/6/2016 18:20	0.02	0
142	7/6/2016 18:23	0.01	0
143	7/6/2016 18:26	0.01	0
144	7/6/2016 18:29	0.01	0
145	7/6/2016 18:32	0.01	0
146	7/6/2016 18:35	0.01	0
147	7/6/2016 18:38	0.01	0
148	7/6/2016 18:41	0.01	0
149	7/6/2016 18:44	0.01	0
150	7/6/2016 18:47	0.01	0
151	7/6/2016 18:50	0.01	0
152	7/6/2016 18:53	0.01	0
153	7/6/2016 18:56	0.01	0
154	7/6/2016 18:59	0.01	0
155	7/6/2016 19:02	9.714	1.32
156	7/6/2016 19:05	9.905	1.32
157	7/6/2016 19:08	9.729	1.32
158	7/6/2016 19:11	0.01	0
159	7/6/2016 19:14	0.01	0
160	7/6/2016 19:17	0.01	0
161	7/6/2016 19:20	0.01	0
162	7/6/2016 19:23	0.01	0
163	7/6/2016 19:26	0.01	0
164	7/6/2016 19:29	0.01	0
165	7/6/2016 19:32	0.01	0
166	7/6/2016 19:35	0.01	0
167	7/6/2016 19:38	0.01	0
168	7/6/2016 19:41	0.01	0
169	7/6/2016 19:44	0.01	0
170	7/6/2016 19:47	0.01	0
171	7/6/2016 19:50	0.01	0
172	7/6/2016 19:53	0.01	0
173	7/6/2016 19:56	0.01	0
174	7/6/2016 19:59	0.01	0
175	7/6/2016 20:02	0.01	0
176	7/6/2016 20:05	0.01	0
177	7/6/2016 20:08	0.01	0
178	7/6/2016 20:11	0.01	0
179	7/6/2016 20:14	0.01	0
180	7/6/2016 20:17	0.01	0
181	7/6/2016 20:20	0.01	0
182	7/6/2016 20:23	0.01	0
183	7/6/2016 20:26	0.01	0
184	7/6/2016 20:29	0.01	0
185	7/6/2016 20:32	0.01	0
186	7/6/2016 20:35	0.01	0
187	7/6/2016 20:38	0.01	0
188	7/6/2016 20:41	0.01	0
189	7/6/2016 20:44	0.01	0
190	7/6/2016 20:47	0.01	0
191	7/6/2016 20:50	0.01	0
192	7/6/2016 20:53	0.01	0
193	7/6/2016 20:56	0.01	0
194	7/6/2016 20:59	0.01	0
195	7/6/2016 21:02	0.01	0
196	7/6/2016 21:05	0.01	0
197	7/6/2016 21:08	0.01	0
198	7/6/2016 21:11	0.01	0
199	7/6/2016 21:14	0.01	0
200	7/6/2016 21:17	0.01	0
201	7/6/2016 21:20	0.01	0
202	7/6/2016 21:23	0.01	0
203	7/6/2016 21:26	0.01	0
204	7/6/2016 21:29	0.01	0
205	7/6/2016 21:32	0.01	0
206	7/6/2016 21:35	0.01	0
207	7/6/2016 21:38	0.01	0
208	7/6/2016 21:41	0.01	0
209	7/6/2016 21:44	0.01	0
210	7/6/2016 21:47	0.01	0
211	7/6/2016 21:50	0.01	0
212	7/6/2016 21:53	0.01	0
213	7/6/2016 21:56	0.01	0
214	7/6/2016 21:59	0.01	0
215	7/6/2016 22:02	0.01	0
216	7/6/2016 22:05	0.01	0
217	7/6/2016 22:08	0.01	0
218	7/6/2016 22:11	0.01	0
219	7/6/2016 22:14	0.01	0
220	7/6/2016 22:17	0.01	0
221	7/6/2016 22:20	0.01	0
222	7/6/2016 22:23	0.01	0
223	7/6/2016 22:26	0.01	0
224	7/6/2016 22:29	0.01	0
225	7/6/2016 22:32	0.01	0
226	7/6/2016 22:35	0.01	0
