Description:,"Fahrenheit-based cooling degree days for a base temperature of 65F"
Source:,"www.degreedays.net (using temperature data from www.wunderground.com)"
Accuracy:,"Estimates were made to account for missing data: the ""% Estimated"" column shows how much each figure was affected (0% is best, 100% is worst)"
Station:,"VACAVILLE NUT TREE AIRPORT, CA, US (121.96W,38.38N)"
Station ID:,"KVCB"

Date,CDD,% Estimated
2014-07-01,10.4,1
2014-07-02,9,1
2014-07-03,10.8,1
2014-07-04,11.3,0
2014-07-05,12.5,0
2014-07-06,14.9,0
2014-07-07,12.9,0
2014-07-08,13.9,1
2014-07-09,9.8,1
2014-07-10,7.5,1
2014-07-11,7.7,0
2014-07-12,10.1,1
2014-07-13,15.5,1
2014-07-14,18,1
2014-07-15,14.9,0
2014-07-16,10.6,1
2014-07-17,7.5,1
2014-07-18,8.2,1
2014-07-19,11.1,1
2014-07-20,6.9,0
2014-07-21,8.7,0
2014-07-22,7.1,1
2014-07-23,9.8,0
2014-07-24,14.7,0
2014-07-25,17,0
2014-07-26,17.9,1
2014-07-27,18.2,1
2014-07-28,13.2,1
2014-07-29,15.7,1
2014-07-30,16.7,2
2014-07-31,16.9,1
2014-08-01,19.5,1
2014-08-02,12.3,1
2014-08-03,5.8,1
2014-08-04,6.4,1
2014-08-05,6.8,0
2014-08-06,13.5,1
2014-08-07,10.8,0
2014-08-08,11.5,0
2014-08-09,7.3,1
2014-08-10,7.1,1
2014-08-11,12.1,0
2014-08-12,7.5,1
2014-08-13,9,2
2014-08-14,9.7,0
2014-08-15,11.1,1
2014-08-16,12.1,0
2014-08-17,10.6,1
2014-08-18,7.4,1
2014-08-19,5.9,0
2014-08-20,4.1,0
2014-08-21,8.9,0
2014-08-22,6.9,1
2014-08-23,8.5,1
2014-08-24,10.2,1
2014-08-25,5,1
2014-08-26,10.3,1
2014-08-27,12.4,1
2014-08-28,13,0
2014-08-29,10.2,0
2014-08-30,14.1,1
2014-08-31,12.9,0
2014-09-01,15.9,1
2014-09-02,9.3,1
2014-09-03,9.9,0
2014-09-04,11.3,1
2014-09-05,8.9,1
2014-09-06,9,1
2014-09-07,8.9,1
2014-09-08,5,1
2014-09-09,7.5,1
2014-09-10,14.2,1
2014-09-11,13.8,0
2014-09-12,16.3,1
2014-09-13,16.1,0
2014-09-14,15.3,0
2014-09-15,4.4,46
2014-09-16,9.9,1
2014-09-17,9.2,1
2014-09-18,7.7,0
2014-09-19,10.5,1
2014-09-20,10,0
2014-09-21,8.7,1
2014-09-22,9.3,1
2014-09-23,9.6,0
2014-09-24,8,0
2014-09-25,3.7,0
2014-09-26,2.5,0
2014-09-27,5.1,0
2014-09-28,2.7,0
2014-09-29,5.5,0
2014-09-30,6.2,2
2014-10-01,10.3,1
2014-10-02,8.5,0
2014-10-03,10.7,0
2014-10-04,11.7,0
2014-10-05,12,0
2014-10-06,11.9,0
2014-10-07,11,0
2014-10-08,12.6,0
2014-10-09,10.2,0
2014-10-10,7.1,0
2014-10-11,7.8,0
2014-10-12,12.6,0
2014-10-13,8.8,0
2014-10-14,2.8,0
2014-10-15,1.9,0
2014-10-16,2.8,0
2014-10-17,2.8,0
2014-10-18,5.4,0
2014-10-19,5.2,0
2014-10-20,2.1,0
2014-10-21,2.3,0
2014-10-22,3.8,0
2014-10-23,3.6,0
2014-10-24,2.7,0
2014-10-25,0.9,0
2014-10-26,1.6,0
2014-10-27,1.9,0
2014-10-28,2.8,0
2014-10-29,4.6,0
2014-10-30,2.7,0
2014-10-31,0,0
2014-11-01,0.2,0
2014-11-02,1,0
2014-11-03,0.7,0
2014-11-04,1.2,0
2014-11-05,1.5,0
2014-11-06,2.6,0
2014-11-07,3,0
2014-11-08,3.5,0
2014-11-09,3.1,0
2014-11-10,3.2,0
2014-11-11,0.2,0
2014-11-12,0,0
2014-11-13,0,0
2014-11-14,0.1,0
2014-11-15,0,0
2014-11-16,0,0
2014-11-17,0.4,0
2014-11-18,0,0
2014-11-19,0,0
2014-11-20,0,0
2014-11-21,0,0
2014-11-22,0.4,0
2014-11-23,0.2,0
2014-11-24,0.3,0
2014-11-25,0.1,0
2014-11-26,0.4,0
2014-11-27,0.3,0
2014-11-28,0.4,0
2014-11-29,0,0
2014-11-30,0,0
2014-12-01,0,0
2014-12-02,0,0
2014-12-03,0,0
2014-12-04,0.2,0
2014-12-05,0,0
2014-12-06,0.4,0
2014-12-07,0,0
2014-12-08,0,0
2014-12-09,0,0
2014-12-10,0,0
2014-12-11,0,0
2014-12-12,0,0
2014-12-13,0,0
2014-12-14,0,0
2014-12-15,0,0
2014-12-16,0,0
2014-12-17,0,0
2014-12-18,0,0
2014-12-19,0,0
2014-12-20,0,0
2014-12-21,0.9,0
2014-12-22,0.1,0
2014-12-23,0,0
2014-12-24,0,0
2014-12-25,0,0
2014-12-26,0,0
2014-12-27,0,0
2014-12-28,0,0
2014-12-29,0,0
2014-12-30,0,0
2014-12-31,0,0
2015-01-01,0,0
2015-01-02,0,0
2015-01-03,0,0
2015-01-04,0,0
2015-01-05,0,0
2015-01-06,0.1,0
2015-01-07,0.5,0
2015-01-08,0,0
2015-01-09,0,0
2015-01-10,0,0
2015-01-11,0,0
2015-01-12,0.1,0
2015-01-13,0.4,0
2015-01-14,0,0
2015-01-15,0,0
2015-01-16,0,0
2015-01-17,0,0
2015-01-18,0,0
2015-01-19,0,0
2015-01-20,0,0
2015-01-21,0,0
2015-01-22,0,0
2015-01-23,0,0
2015-01-24,0,0
2015-01-25,0,0
2015-01-26,0.1,0
2015-01-27,0,0
2015-01-28,0.5,0
2015-01-29,0.5,0
2015-01-30,2.3,0
2015-01-31,3.2,0
2015-02-01,0,0
2015-02-02,0.1,0
2015-02-03,0.4,0
2015-02-04,0,0
2015-02-05,0,0
2015-02-06,0,0
2015-02-07,0.1,0
2015-02-08,0,0
2015-02-09,0.1,0
2015-02-10,0,0
2015-02-11,0.1,0
2015-02-12,1.7,0
2015-02-13,1.7,0
2015-02-14,2.5,0
2015-02-15,2,0
2015-02-16,1.9,1
2015-02-17,0.2,0
2015-02-18,0.1,0
2015-02-19,0,0
2015-02-20,1.3,0
2015-02-21,0.2,0
2015-02-22,0,0
2015-02-23,0,0
2015-02-24,0.7,0
2015-02-25,0.2,0
2015-02-26,2.5,0
2015-02-27,0.3,0
2015-02-28,0,0
2015-03-01,0.5,0
2015-03-02,0,0
2015-03-03,0.2,0
2015-03-04,0.7,0
2015-03-05,0.9,0
2015-03-06,2.4,0
2015-03-07,2.2,0
2015-03-08,2.6,0
2015-03-09,2.9,0
2015-03-10,1.5,0
2015-03-11,0.2,0
2015-03-12,3.4,0
2015-03-13,3.1,0
2015-03-14,4.5,0
2015-03-15,3,0
2015-03-16,0.9,0
2015-03-17,2.6,0
2015-03-18,3.9,0
2015-03-19,4.9,0
2015-03-20,2,0
2015-03-21,2.8,0
2015-03-22,0.8,0
2015-03-23,0.6,0
2015-03-24,1.7,0
2015-03-25,4.7,0
2015-03-26,5.3,0
2015-03-27,5.4,0
2015-03-28,6.3,0
2015-03-29,6.8,0
2015-03-30,4.7,0
2015-03-31,3.1,0
2015-04-01,1,0
2015-04-02,1.9,0
2015-04-03,2.9,0
2015-04-04,1.5,0
2015-04-05,0,0
2015-04-06,0,0
2015-04-07,0,0
2015-04-08,0,0
2015-04-09,0.6,0
2015-04-10,2.1,0
2015-04-11,2.9,0
2015-04-12,5.2,0
2015-04-13,1.9,0
2015-04-14,0.6,0
2015-04-15,3.8,0
2015-04-16,6.6,0
2015-04-17,6.3,0
2015-04-18,7,0
2015-04-19,6.4,0
2015-04-20,4.2,0
2015-04-21,0,0
2015-04-22,2.4,0
2015-04-23,3.1,0
2015-04-24,1.2,0
2015-04-25,0.9,0
2015-04-26,4.6,0
2015-04-27,12,0
2015-04-28,5.8,0
2015-04-29,6.2,0
2015-04-30,11.2,0
2015-05-01,11.4,0
2015-05-02,7.4,0
2015-05-03,2.5,0
2015-05-04,2.3,0
2015-05-05,3,0
2015-05-06,4.2,0
2015-05-07,0.9,0
2015-05-08,2.3,0
2015-05-09,3.8,0
2015-05-10,2.7,0
2015-05-11,1.8,0
2015-05-12,1.4,0
2015-05-13,0.6,0
2015-05-14,0.9,0
2015-05-15,1.7,0
2015-05-16,2,0
2015-05-17,0.3,0
2015-05-18,1.5,0
2015-05-19,2.1,0
2015-05-20,1.6,0
2015-05-21,2.2,0
2015-05-22,2.3,0
2015-05-23,2.8,0
2015-05-24,4.6,0
2015-05-25,2.8,0
2015-05-26,3.2,0
2015-05-27,4.4,0
2015-05-28,7.1,0
2015-05-29,8.1,0
2015-05-30,8.1,0
2015-05-31,4.2,0
2015-06-01,4.3,0
2015-06-02,7.3,0
2015-06-03,5,0
2015-06-04,7.5,0
2015-06-05,11.1,0
2015-06-06,10.2,0
2015-06-07,14.4,0
2015-06-08,19.3,0
2015-06-09,14.1,0
2015-06-10,7.2,0
2015-06-11,14.8,0
2015-06-12,18.4,0
2015-06-13,11.3,0
2015-06-14,7.9,0
2015-06-15,7.3,0
2015-06-16,12.5,2
2015-06-17,13.5,2
2015-06-18,11.3,0
2015-06-19,12.3,0
2015-06-20,13.2,1
2015-06-21,7.7,0
2015-06-22,9.4,0
2015-06-23,13.1,1
2015-06-24,15.4,0
2015-06-25,19.4,0
2015-06-26,20.4,0
2015-06-27,12.5,0
2015-06-28,14.2,0
2015-06-29,15.5,0
2015-06-30,21.5,0
2015-07-01,21.6,0
2015-07-02,18,0
2015-07-03,16.9,0
2015-07-04,17.7,0
2015-07-05,13,0
2015-07-06,11.9,0
2015-07-07,11.5,0
2015-07-08,6.6,0
2015-07-09,2.3,0
2015-07-10,5.6,0
2015-07-11,8.5,0
2015-07-12,8.9,0
2015-07-13,11.2,0
