"Plot Title: Riggert"
"#","Date Time, GMT-07:00","AC Curr, Amps (LGR S/N: 10047347, SEN S/N: 10047347, LBL: SFan)","End Of File (LGR S/N: 10047347)"
1,07/05/16 02:43:44 PM,0.005,
2,07/05/16 02:46:44 PM,0.005,
3,07/05/16 02:49:44 PM,13.158,
4,07/05/16 02:52:44 PM,13.216,
5,07/05/16 02:55:44 PM,13.182,
6,07/05/16 02:58:44 PM,13.206,
7,07/05/16 03:01:44 PM,0.049,
8,07/05/16 03:04:44 PM,0.044,
9,07/05/16 03:07:44 PM,0.039,
10,07/05/16 03:10:44 PM,0.039,
11,07/05/16 03:13:44 PM,0.039,
12,07/05/16 03:16:44 PM,13.275,
13,07/05/16 03:19:44 PM,13.319,
14,07/05/16 03:22:44 PM,13.153,
15,07/05/16 03:25:44 PM,0.044,
16,07/05/16 03:28:44 PM,0.039,
17,07/05/16 03:31:44 PM,0.039,
18,07/05/16 03:34:44 PM,0.039,
19,07/05/16 03:37:44 PM,0.039,
20,07/05/16 03:40:44 PM,13.485,
21,07/05/16 03:43:44 PM,13.372,
22,07/05/16 03:46:44 PM,13.348,
23,07/05/16 03:49:44 PM,13.333,
24,07/05/16 03:52:44 PM,0.039,
25,07/05/16 03:55:44 PM,0.034,
26,07/05/16 03:58:44 PM,0.034,
27,07/05/16 04:01:44 PM,0.034,
28,07/05/16 04:04:44 PM,13.343,
29,07/05/16 04:07:44 PM,13.177,
30,07/05/16 04:10:44 PM,13.382,
31,07/05/16 04:13:44 PM,13.221,
32,07/05/16 04:16:44 PM,13.221,
33,07/05/16 04:19:44 PM,13.319,
34,07/05/16 04:22:44 PM,13.382,
35,07/05/16 04:25:44 PM,13.123,
36,07/05/16 04:28:44 PM,13.289,
37,07/05/16 04:31:44 PM,13.123,
38,07/05/16 04:34:44 PM,13.201,
39,07/05/16 04:37:44 PM,13.187,
40,07/05/16 04:40:44 PM,13.299,
41,07/05/16 04:43:44 PM,13.187,
42,07/05/16 04:46:44 PM,13.294,
43,07/05/16 04:49:44 PM,13.153,
44,07/05/16 04:52:44 PM,13.182,
45,07/05/16 04:55:44 PM,13.231,
46,07/05/16 04:58:44 PM,13.221,
47,07/05/16 05:01:44 PM,13.138,
48,07/05/16 05:04:44 PM,0.039,
49,07/05/16 05:07:44 PM,0.034,
50,07/05/16 05:10:44 PM,0.034,
51,07/05/16 05:13:44 PM,13.372,
52,07/05/16 05:16:44 PM,13.177,
53,07/05/16 05:19:44 PM,13.241,
54,07/05/16 05:22:44 PM,13.114,
55,07/05/16 05:25:44 PM,13.167,
56,07/05/16 05:28:44 PM,13.128,
57,07/05/16 05:31:44 PM,13.162,
58,07/05/16 05:34:44 PM,13.236,
59,07/05/16 05:37:44 PM,13.206,
60,07/05/16 05:40:44 PM,13.167,
61,07/05/16 05:43:44 PM,13.109,
62,07/05/16 05:46:44 PM,0.039,
63,07/05/16 05:49:44 PM,0.039,
64,07/05/16 05:52:44 PM,13.241,
65,07/05/16 05:55:44 PM,13.045,
66,07/05/16 05:58:44 PM,13.001,
67,07/05/16 06:01:44 PM,13.035,
68,07/05/16 06:04:44 PM,13.089,
69,07/05/16 06:07:44 PM,13.011,
70,07/05/16 06:10:44 PM,0.039,
71,07/05/16 06:13:44 PM,0.039,
72,07/05/16 06:16:44 PM,0.039,
73,07/05/16 06:19:44 PM,12.918,
74,07/05/16 06:22:44 PM,12.957,
75,07/05/16 06:25:44 PM,12.884,
76,07/05/16 06:28:44 PM,12.923,
77,07/05/16 06:31:44 PM,0.039,
78,07/05/16 06:34:44 PM,0.039,
79,07/05/16 06:37:44 PM,0.039,
80,07/05/16 06:40:44 PM,12.816,
81,07/05/16 06:43:44 PM,12.791,
82,07/05/16 06:46:44 PM,12.762,
83,07/05/16 06:49:44 PM,12.689,
84,07/05/16 06:52:44 PM,0.039,
85,07/05/16 06:55:44 PM,0.039,
86,07/05/16 06:58:44 PM,0.039,
87,07/05/16 07:01:44 PM,0.039,
88,07/05/16 07:04:44 PM,12.586,
89,07/05/16 07:07:44 PM,12.562,
90,07/05/16 07:10:44 PM,12.523,
91,07/05/16 07:13:44 PM,12.459,
92,07/05/16 07:16:44 PM,0.044,
93,07/05/16 07:19:44 PM,0.044,
94,07/05/16 07:22:44 PM,0.044,
95,07/05/16 07:25:44 PM,0.044,
96,07/05/16 07:28:44 PM,12.386,
97,07/05/16 07:31:44 PM,12.239,
98,07/05/16 07:34:44 PM,12.190,
99,07/05/16 07:37:44 PM,0.049,
100,07/05/16 07:40:44 PM,0.049,
101,07/05/16 07:43:44 PM,0.049,
102,07/05/16 07:46:44 PM,0.049,
103,07/05/16 07:49:44 PM,0.049,
104,07/05/16 07:52:44 PM,0.049,
105,07/05/16 07:55:44 PM,0.049,
106,07/05/16 07:58:44 PM,0.049,
107,07/05/16 08:01:44 PM,0.054,
108,07/05/16 08:04:44 PM,0.054,
109,07/05/16 08:07:44 PM,0.054,
110,07/05/16 08:10:44 PM,0.054,
111,07/05/16 08:13:44 PM,0.054,
112,07/05/16 08:16:44 PM,0.054,
113,07/05/16 08:19:44 PM,0.054,
114,07/05/16 08:22:44 PM,0.054,
115,07/05/16 08:25:44 PM,0.054,
116,07/05/16 08:28:44 PM,0.054,
117,07/05/16 08:31:44 PM,0.054,
118,07/05/16 08:34:44 PM,0.054,
119,07/05/16 08:37:44 PM,0.054,
120,07/05/16 08:40:44 PM,0.054,
121,07/05/16 08:43:44 PM,0.054,
122,07/05/16 08:46:44 PM,0.054,
123,07/05/16 08:49:44 PM,0.054,
124,07/05/16 08:52:44 PM,0.054,
125,07/05/16 08:55:44 PM,0.059,
