Description:,"Fahrenheit-based cooling degree days for a base temperature of 65F"
Source:,"www.degreedays.net (using temperature data from www.wunderground.com)"
Accuracy:,"Estimates were made to account for missing data: the ""% Estimated"" column shows how much each figure was affected (0% is best, 100% is worst)"
Station:,"VACAVILLE NUT TREE AIRPORT, CA, US (121.96W,38.38N)"
Station ID:,"KVCB"

Date,CDD,% Estimated
2017-06-01,8.7,0
2017-06-02,11.1,0
2017-06-03,9,0
2017-06-04,8.6,0
2017-06-05,11.2,0
2017-06-06,9.6,0
2017-06-07,5.5,0
2017-06-08,1.3,0
2017-06-09,2.9,0
2017-06-10,3.6,0
2017-06-11,0.3,0
2017-06-12,2.3,0
2017-06-13,6.7,0
2017-06-14,10.7,0
2017-06-15,14.3,0
2017-06-16,19.9,0
2017-06-17,23.2,0
2017-06-18,30.9,1
2017-06-19,24.9,0
2017-06-20,22.5,0
2017-06-21,21.9,0
2017-06-22,27.8,0
2017-06-23,21.1,0
2017-06-24,14.8,0
2017-06-25,11.3,0
2017-06-26,8,0
2017-06-27,7.8,0
2017-06-28,10,0
2017-06-29,11.4,0
2017-06-30,11.2,0
2017-07-01,9.8,0
2017-07-02,11.2,0
2017-07-03,11.6,1
2017-07-04,12.4,0
2017-07-05,14,0
2017-07-06,18.6,0
2017-07-07,23.7,0
2017-07-08,23.9,0
2017-07-09,17.1,0
2017-07-10,15.4,0
2017-07-11,11.5,0
2017-07-12,12.1,0
2017-07-13,12.8,0
2017-07-14,14,0
2017-07-15,18,0
2017-07-16,23.3,1
2017-07-17,20.3,0
2017-07-18,10,1
2017-07-19,12.2,0
2017-07-20,11.7,0
2017-07-21,13.7,0
2017-07-22,17.8,0
2017-07-23,18.3,0
2017-07-24,13.9,0
2017-07-25,12.6,0
2017-07-26,14.3,0
2017-07-27,17.3,0
2017-07-28,17.2,0
2017-07-29,12.4,0
2017-07-30,15,0
2017-07-31,16.6,0
2017-08-01,19.4,0
2017-08-02,19.6,0
2017-08-03,21.9,0
2017-08-04,17.6,0
2017-08-05,14.8,0
2017-08-06,10.6,0
2017-08-07,10.3,0
2017-08-08,11.4,0
2017-08-09,9.2,0
2017-08-10,11.4,0
2017-08-11,13.8,0
2017-08-12,13.3,0
2017-08-13,9,0
2017-08-14,4.2,0
2017-08-15,5.4,0
2017-08-16,9.8,0
2017-08-17,13.1,0
2017-08-18,13,0
2017-08-19,11,0
2017-08-20,11.4,0
