Description:,"Fahrenheit-based heating degree days for a base temperature of 65F"
Source:,"www.degreedays.net (using temperature data from www.wunderground.com)"
Accuracy:,"Estimates were made to account for missing data: the ""% Estimated"" column shows how much each figure was affected (0% is best, 100% is worst)"
Station:,"Sacramento International, CA, US (121.59W,38.70N)"
Station ID:,"KSMF"

Date,HDD,% Estimated
2017-11-01,8.9,0
2017-11-02,6.8,0
2017-11-03,4.8,0
2017-11-04,8.1,0
2017-11-05,14.8,0
2017-11-06,13.6,0
2017-11-07,15.6,0
2017-11-08,10.3,0
2017-11-09,5.3,0
2017-11-10,6.6,0
2017-11-11,14.1,0
2017-11-12,9.7,0
2017-11-13,6.7,0
2017-11-14,10.4,0
2017-11-15,11.2,2
2017-11-16,8.7,0
2017-11-17,12.8,0
2017-11-18,17.2,0
2017-11-19,16.4,0
2017-11-20,10.4,0
2017-11-21,10.2,0
2017-11-22,10,0
2017-11-23,9.1,0
2017-11-24,7.3,0
2017-11-25,8.2,0
2017-11-26,6.5,0
2017-11-27,14.1,0
2017-11-28,16.2,0
2017-11-29,15.6,0
2017-11-30,17.2,0
2017-12-01,18.4,0
2017-12-02,16.8,0
2017-12-03,15.5,0
2017-12-04,16.3,0
2017-12-05,15.2,0
2017-12-06,21.1,0
2017-12-07,18.9,0
2017-12-08,19.4,0
2017-12-09,21.6,0
2017-12-10,21.7,0
2017-12-11,21.7,1
2017-12-12,23.1,0
2017-12-13,23,0
2017-12-14,20.2,0
2017-12-15,20.2,0
2017-12-16,12.3,0
2017-12-17,15.2,0
2017-12-18,19.8,0
2017-12-19,18.7,0
2017-12-20,18,0
2017-12-21,20.8,0
2017-12-22,24.7,0
2017-12-23,20.6,0
2017-12-24,19.4,0
2017-12-25,19.7,0
2017-12-26,22.1,0
2017-12-27,21.1,0
2017-12-28,21.7,0
2017-12-29,21,0
2017-12-30,20.8,0
2017-12-31,21.1,0
2018-01-01,16,0
2018-01-02,16.7,0
2018-01-03,15.6,6
2018-01-04,10.1,0
2018-01-05,8.3,0
2018-01-06,15.1,0
2018-01-07,20.4,0
2018-01-08,15.3,0
2018-01-09,11.7,0
2018-01-10,13.5,0
2018-01-11,15,0
2018-01-12,15.4,0
2018-01-13,17.2,0
2018-01-14,16.2,0
2018-01-15,16.5,0
2018-01-16,12.7,0
2018-01-17,14,0
2018-01-18,12.7,0
2018-01-19,16.7,0
2018-01-20,20,0
2018-01-21,19.8,0
2018-01-22,17,0
2018-01-23,16.5,0
2018-01-24,17.6,0
2018-01-25,18,0
