"Plot Title: Downstairs"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 10881125, SEN S/N: 10881125)","Host Connected (LGR S/N: 10881125)","Stopped (LGR S/N: 10881125)","End Of File (LGR S/N: 10881125)"
1,07/14/17 02:31:28 PM,78.042,,,
2,07/14/17 02:32:28 PM,78.611,,,
3,07/14/17 02:33:28 PM,79.050,,,
4,07/14/17 02:34:28 PM,78.656,,,
5,07/14/17 02:35:28 PM,78.174,,,
6,07/14/17 02:36:28 PM,77.824,,,
7,07/14/17 02:37:28 PM,77.693,,,
8,07/14/17 02:38:28 PM,77.650,,,
9,07/14/17 02:39:28 PM,77.650,,,
10,07/14/17 02:40:28 PM,77.650,,,
11,07/14/17 02:41:28 PM,77.650,,,
12,07/14/17 02:42:28 PM,77.779,,,
13,07/14/17 02:43:28 PM,77.956,,,
14,07/14/17 02:44:28 PM,77.956,,,
15,07/14/17 02:45:28 PM,77.736,,,
16,07/14/17 02:46:28 PM,77.605,,,
17,07/14/17 02:47:28 PM,77.518,,,
18,07/14/17 02:48:28 PM,77.475,,,
19,07/14/17 02:49:28 PM,77.387,,,
20,07/14/17 02:50:28 PM,77.344,,,
21,07/14/17 02:51:28 PM,77.301,,,
22,07/14/17 02:52:28 PM,77.430,,,
23,07/14/17 02:53:28 PM,77.387,,,
24,07/14/17 02:54:28 PM,77.256,,,
25,07/14/17 02:55:28 PM,77.169,,,
26,07/14/17 02:56:28 PM,77.126,,,
27,07/14/17 02:57:28 PM,77.038,,,
28,07/14/17 02:58:28 PM,76.995,,,
29,07/14/17 02:59:28 PM,76.995,,,
30,07/14/17 03:00:28 PM,76.951,,,
31,07/14/17 03:01:28 PM,76.863,,,
32,07/14/17 03:02:28 PM,76.777,,,
33,07/14/17 03:03:28 PM,76.734,,,
34,07/14/17 03:04:28 PM,76.689,,,
35,07/14/17 03:05:28 PM,76.645,,,
36,07/14/17 03:06:28 PM,76.645,,,
37,07/14/17 03:07:28 PM,76.645,,,
38,07/14/17 03:08:28 PM,76.645,,,
39,07/14/17 03:09:28 PM,76.689,,,
40,07/14/17 03:10:28 PM,76.689,,,
41,07/14/17 03:11:28 PM,76.734,,,
42,07/14/17 03:12:28 PM,76.820,,,
43,07/14/17 03:13:28 PM,76.820,,,
44,07/14/17 03:14:28 PM,76.863,,,
45,07/14/17 03:15:28 PM,76.863,,,
46,07/14/17 03:16:28 PM,76.906,,,
47,07/14/17 03:17:28 PM,77.038,,,
48,07/14/17 03:18:28 PM,76.995,,,
49,07/14/17 03:19:28 PM,76.906,,,
50,07/14/17 03:20:28 PM,76.951,,,
51,07/14/17 03:21:28 PM,76.863,,,
52,07/14/17 03:22:28 PM,76.863,,,
53,07/14/17 03:23:28 PM,76.820,,,
54,07/14/17 03:24:28 PM,76.777,,,
55,07/14/17 03:25:28 PM,76.734,,,
56,07/14/17 03:26:28 PM,76.689,,,
57,07/14/17 03:27:28 PM,76.645,,,
58,07/14/17 03:28:28 PM,76.645,,,
59,07/14/17 03:29:28 PM,76.602,,,
60,07/14/17 03:30:28 PM,76.559,,,
61,07/14/17 03:31:28 PM,76.559,,,
62,07/14/17 03:32:28 PM,76.559,,,
63,07/14/17 03:33:28 PM,76.645,,,
64,07/14/17 03:34:28 PM,76.602,,,
65,07/14/17 03:35:28 PM,76.602,,,
66,07/14/17 03:36:28 PM,76.559,,,
67,07/14/17 03:37:28 PM,76.516,,,
68,07/14/17 03:38:28 PM,76.471,,,
69,07/14/17 03:39:28 PM,76.516,,,
70,07/14/17 03:40:28 PM,76.559,,,
71,07/14/17 03:41:28 PM,76.471,,,
72,07/14/17 03:42:28 PM,76.428,,,
73,07/14/17 03:43:28 PM,76.428,,,
74,07/14/17 03:44:28 PM,76.384,,,
75,07/14/17 03:45:28 PM,76.341,,,
76,07/14/17 03:46:28 PM,76.298,,,
77,07/14/17 03:47:28 PM,76.255,,,
78,07/14/17 03:48:28 PM,76.210,,,
79,07/14/17 03:49:28 PM,76.210,,,
80,07/14/17 03:50:28 PM,76.167,,,
81,07/14/17 03:51:28 PM,76.167,,,
82,07/14/17 03:52:28 PM,76.167,,,
83,07/14/17 03:53:28 PM,76.123,,,
84,07/14/17 03:54:28 PM,76.080,,,
85,07/14/17 03:55:28 PM,76.080,,,
86,07/14/17 03:56:28 PM,76.037,,,
87,07/14/17 03:57:28 PM,76.037,,,
88,07/14/17 03:58:28 PM,75.994,,,
89,07/14/17 03:59:28 PM,75.951,,,
90,07/14/17 04:00:28 PM,75.951,,,
91,07/14/17 04:01:28 PM,75.951,,,
92,07/14/17 04:02:28 PM,75.906,,,
93,07/14/17 04:03:28 PM,75.906,,,
94,07/14/17 04:04:28 PM,75.862,,,
95,07/14/17 04:05:28 PM,75.862,,,
96,07/14/17 04:06:28 PM,75.862,,,
97,07/14/17 04:07:28 PM,75.819,,,
98,07/14/17 04:08:28 PM,75.819,,,
99,07/14/17 04:09:28 PM,75.776,,,
100,07/14/17 04:10:28 PM,75.776,,,
101,07/14/17 04:11:28 PM,75.776,,,
102,07/14/17 04:12:28 PM,75.776,,,
103,07/14/17 04:13:28 PM,75.733,,,
104,07/14/17 04:14:28 PM,75.733,,,
105,07/14/17 04:15:28 PM,75.733,,,
106,07/14/17 04:16:28 PM,75.733,,,
107,07/14/17 04:17:28 PM,75.690,,,
108,07/14/17 04:18:28 PM,75.690,,,
109,07/14/17 04:19:28 PM,75.690,,,
110,07/14/17 04:20:28 PM,75.690,,,
111,07/14/17 04:21:28 PM,75.690,,,
112,07/14/17 04:22:28 PM,75.690,,,
113,07/14/17 04:23:28 PM,75.690,,,
114,07/14/17 04:24:28 PM,75.690,,,
115,07/14/17 04:25:28 PM,75.690,,,
116,07/14/17 04:26:28 PM,75.690,,,
117,07/14/17 04:27:28 PM,75.690,,,
118,07/14/17 04:28:28 PM,75.690,,,
119,07/14/17 04:29:28 PM,75.646,,,
