"Plot Title: 487-200A"
"#","Date Time, GMT-07:00","AC Curr, Amps (LGR S/N: 2445486, SEN S/N: 2445486)","Host Connected (LGR S/N: 2445486)","Stopped (LGR S/N: 2445486)","End Of File (LGR S/N: 2445486)"
1,07/29/16 04:37:29 PM,0.000,,,
2,07/29/16 04:40:29 PM,0.000,,,
3,07/29/16 04:43:29 PM,16.024,,,
4,07/29/16 04:46:29 PM,16.181,,,
5,07/29/16 04:49:29 PM,15.800,,,
6,07/29/16 04:52:29 PM,16.029,,,
7,07/29/16 04:55:29 PM,16.181,,,
8,07/29/16 04:58:29 PM,0.010,,,
9,07/29/16 05:01:29 PM,0.005,,,
10,07/29/16 05:04:29 PM,17.035,,,
11,07/29/16 05:07:29 PM,15.780,,,
12,07/29/16 05:10:29 PM,15.800,,,
13,07/29/16 05:13:29 PM,15.961,,,
14,07/29/16 05:16:29 PM,15.756,,,
15,07/29/16 05:19:29 PM,15.785,,,
16,07/29/16 05:22:29 PM,0.015,,,
17,07/29/16 05:25:29 PM,0.005,,,
18,07/29/16 05:28:29 PM,0.000,,,
19,07/29/16 05:31:29 PM,15.824,,,
20,07/29/16 05:34:29 PM,15.863,,,
21,07/29/16 05:37:29 PM,15.941,,,
22,07/29/16 05:40:29 PM,15.956,,,
23,07/29/16 05:43:29 PM,15.785,,,
24,07/29/16 05:46:29 PM,0.005,,,
25,07/29/16 05:49:29 PM,0.005,,,
26,07/29/16 05:52:29 PM,15.810,,,
27,07/29/16 05:55:29 PM,15.712,,,
28,07/29/16 05:58:29 PM,15.990,,,
29,07/29/16 06:01:29 PM,16.020,,,
30,07/29/16 06:04:29 PM,15.873,,,
31,07/29/16 06:07:29 PM,15.863,,,
32,07/29/16 06:10:29 PM,0.005,,,
33,07/29/16 06:13:29 PM,0.005,,,
34,07/29/16 06:16:29 PM,15.560,,,
35,07/29/16 06:19:29 PM,15.717,,,
36,07/29/16 06:22:29 PM,15.683,,,
37,07/29/16 06:25:29 PM,15.634,,,
38,07/29/16 06:28:29 PM,15.526,,,
39,07/29/16 06:31:29 PM,0.005,,,
40,07/29/16 06:34:29 PM,0.005,,,
41,07/29/16 06:37:29 PM,15.683,,,
42,07/29/16 06:40:29 PM,15.624,,,
43,07/29/16 06:43:29 PM,15.521,,,
44,07/29/16 06:46:29 PM,15.482,,,
45,07/29/16 06:49:29 PM,15.404,,,
46,07/29/16 06:52:29 PM,0.005,,,
47,07/29/16 06:55:29 PM,0.005,,,
48,07/29/16 06:58:29 PM,0.005,,,
49,07/29/16 07:01:29 PM,15.404,,,
50,07/29/16 07:04:29 PM,15.287,,,
51,07/29/16 07:07:29 PM,15.414,,,
52,07/29/16 07:10:29 PM,0.005,,,
53,07/29/16 07:13:29 PM,0.005,,,
54,07/29/16 07:16:29 PM,15.082,,,
55,07/29/16 07:19:29 PM,15.238,,,
56,07/29/16 07:22:29 PM,15.140,,,
57,07/29/16 07:25:29 PM,15.136,,,
58,07/29/16 07:28:29 PM,15.013,,,
59,07/29/16 07:31:29 PM,14.930,,,
60,07/29/16 07:34:29 PM,0.005,,,
61,07/29/16 07:37:29 PM,15.600,,,
62,07/29/16 07:40:29 PM,15.038,,,
63,07/29/16 07:43:29 PM,14.891,,,
64,07/29/16 07:46:29 PM,14.930,,,
65,07/29/16 07:49:29 PM,14.779,,,
66,07/29/16 07:52:29 PM,14.862,,,
67,07/29/16 07:55:29 PM,14.574,,,
68,07/29/16 07:58:29 PM,0.005,,,
69,07/29/16 08:01:29 PM,15.077,,,
70,07/29/16 08:04:29 PM,14.491,,,
