Description:,"Fahrenheit-based cooling degree days for a base temperature of 65F"
Source:,"www.degreedays.net (using temperature data from www.wunderground.com)"
Accuracy:,"Estimates were made to account for missing data: the ""% Estimated"" column shows how much each figure was affected (0% is best, 100% is worst)"
Station:,"VACAVILLE NUT TREE AIRPORT, CA, US (121.96W,38.38N)"
Station ID:,"KVCB"

Date,CDD,% Estimated
2017-02-01,0,0
2017-02-02,0,0
2017-02-03,0,0
2017-02-04,0,0
2017-02-05,0,0
2017-02-06,0,0
2017-02-07,0,0
2017-02-08,0,0
2017-02-09,0,0
2017-02-10,0,0
2017-02-11,0,0
2017-02-12,0.2,0
2017-02-13,0,0
2017-02-14,0.4,0
2017-02-15,0,0
2017-02-16,0,0
2017-02-17,0,0
2017-02-18,0,0
2017-02-19,0,0
2017-02-20,0,0
2017-02-21,0,0
2017-02-22,0,0
2017-02-23,0,0
2017-02-24,0,0
2017-02-25,0,0
2017-02-26,0,0
2017-02-27,0,0
2017-02-28,0,0
2017-03-01,0,0
2017-03-02,0.5,0
2017-03-03,0.1,0
2017-03-04,0,0
2017-03-05,0,0
2017-03-06,0,0
2017-03-07,0,2
2017-03-08,0.8,0
2017-03-09,1.8,0
2017-03-10,2.4,0
2017-03-11,2.7,0
2017-03-12,3.3,0
2017-03-13,3.9,0
2017-03-14,4.2,1
2017-03-15,0.8,0
2017-03-16,2.2,0
2017-03-17,2.8,0
2017-03-18,0.4,0
2017-03-19,1.3,0
2017-03-20,0,0
2017-03-21,0,0
2017-03-22,0,0
2017-03-23,0,0
2017-03-24,0,0
2017-03-25,0,0
2017-03-26,0,0
2017-03-27,0.3,4
2017-03-28,2.5,4
2017-03-29,3.3,0
2017-03-30,0.6,0
2017-03-31,2.2,0
2017-04-01,4.4,0
2017-04-02,5.2,0
2017-04-03,3.6,0
2017-04-04,2.5,0
2017-04-05,2.6,0
2017-04-06,0,0
2017-04-07,0,0
2017-04-08,0,0
2017-04-09,0,0
2017-04-10,0.4,0
2017-04-11,0,0
2017-04-12,0,0
2017-04-13,0,0
2017-04-14,0,0
2017-04-15,0.8,0
2017-04-16,0,0
2017-04-17,0,0
2017-04-18,0.8,1
2017-04-19,0.5,1
2017-04-20,1.8,0
2017-04-21,4.3,0
2017-04-22,1,1
2017-04-23,1.6,0
2017-04-24,0.1,0
2017-04-25,1.2,0
2017-04-26,0.5,1
2017-04-27,3.1,2
2017-04-28,3,0
2017-04-29,6.2,0
2017-04-30,6.4,0
2017-05-01,12.8,0
2017-05-02,16.3,0
2017-05-03,18.3,0
2017-05-04,8.7,0
2017-05-05,3.8,0
2017-05-06,1,0
2017-05-07,4,0
2017-05-08,7.2,0
2017-05-09,8.2,0
2017-05-10,1.3,0
2017-05-11,1.2,0
2017-05-12,1.5,0
2017-05-13,0.9,0
2017-05-14,0.6,0
2017-05-15,2.9,0
2017-05-16,0.3,0
2017-05-17,3.9,0
2017-05-18,9,0
2017-05-19,10.8,0
2017-05-20,12.2,0
2017-05-21,13.3,0
2017-05-22,14.4,0
2017-05-23,14,0
2017-05-24,4.1,0
2017-05-25,0.8,0
2017-05-26,1.2,0
2017-05-27,4.8,0
2017-05-28,7.3,0
2017-05-29,6,0
2017-05-30,3.8,0
2017-05-31,5.7,0
2017-06-01,8.7,0
2017-06-02,11.1,0
2017-06-03,9,0
2017-06-04,8.6,0
2017-06-05,11.2,0
2017-06-06,9.6,0
2017-06-07,5.5,0
2017-06-08,1.3,0
2017-06-09,2.9,0
2017-06-10,3.6,0
2017-06-11,0.3,0
2017-06-12,2.3,0
2017-06-13,6.7,0
2017-06-14,10.7,0
2017-06-15,14.3,0
2017-06-16,19.9,0
2017-06-17,23.2,0
2017-06-18,30.9,1
2017-06-19,24.9,0
2017-06-20,22.5,0
2017-06-21,21.9,0
2017-06-22,27.8,0
2017-06-23,21.1,0
2017-06-24,14.8,0
2017-06-25,11.3,0
2017-06-26,8,0
2017-06-27,7.8,0
2017-06-28,10,0
2017-06-29,11.4,0
2017-06-30,11.2,0
2017-07-01,9.8,0
2017-07-02,11.2,0
2017-07-03,11.6,1
2017-07-04,12.4,0
2017-07-05,14,0
2017-07-06,18.6,0
2017-07-07,23.7,0
2017-07-08,23.9,0
2017-07-09,17.1,0
2017-07-10,15.4,0
2017-07-11,11.5,0
2017-07-12,12.1,0
2017-07-13,12.8,0
2017-07-14,14,0
2017-07-15,18,0
2017-07-16,23.3,1
