Date,CDD
5/1/2015,8.2
5/2/2015,3.3
5/3/2015,0.5
5/4/2015,0.5
5/5/2015,1.8
5/6/2015,2.6
5/7/2015,0.7
5/8/2015,1.8
5/9/2015,1.6
5/10/2015,1.4
5/11/2015,1
5/12/2015,0.9
5/13/2015,0.3
5/14/2015,0.5
5/15/2015,0.6
5/16/2015,1.5
5/17/2015,0.2
5/18/2015,0.5
5/19/2015,1
5/20/2015,0.7
5/21/2015,1.3
5/22/2015,1.5
5/23/2015,1.7
5/24/2015,2.2
5/25/2015,0.9
5/26/2015,1.3
5/27/2015,1.7
5/28/2015,3.4
5/29/2015,3.8
5/30/2015,4.3
5/31/2015,1.3
6/1/2015,2.9
6/2/2015,4.5
6/3/2015,3.2
6/4/2015,5.5
6/5/2015,6.4
6/6/2015,4.3
6/7/2015,10.3
6/8/2015,16.7
6/9/2015,8.2
6/10/2015,2.6
6/11/2015,10.1
6/12/2015,12.5
6/13/2015,5.7
6/14/2015,3.3
6/15/2015,3.5
6/16/2015,7.3
6/17/2015,8.4
6/18/2015,6
6/19/2015,8.3
6/20/2015,9.3
6/21/2015,3.5
6/22/2015,4.8
6/23/2015,8.7
6/24/2015,9.4
6/25/2015,13.6
6/26/2015,13.6
6/27/2015,5.3
6/28/2015,6.9
6/29/2015,9.5
6/30/2015,17.7
7/1/2015,16.1
7/2/2015,9.2
7/3/2015,9.1
7/4/2015,8.6
7/5/2015,5.1
7/6/2015,6.3
7/7/2015,5.8
7/8/2015,3
7/9/2015,0.6
7/10/2015,3.6
7/11/2015,5.7
7/12/2015,6.1
7/13/2015,8.1
7/14/2015,6.1
7/15/2015,8.9
7/16/2015,7.9
7/17/2015,8.7
7/18/2015,7.7
7/19/2015,14.1
7/20/2015,15.2
7/21/2015,6.2
7/22/2015,4
7/23/2015,4.3
7/24/2015,6.7
7/25/2015,5.7
7/26/2015,6.6
7/27/2015,12.9
7/28/2015,16.8
7/29/2015,17
7/30/2015,10
7/31/2015,6.1
8/1/2015,7.1
8/2/2015,6.3
8/3/2015,5.8
8/4/2015,3.8
8/5/2015,8.8
8/6/2015,8.8
8/7/2015,5.9
8/8/2015,4.7
8/9/2015,8.6
8/10/2015,6.1
8/11/2015,6.5
8/12/2015,8
8/13/2015,6.9
8/14/2015,8.6
8/15/2015,14.5
8/16/2015,17.9
8/17/2015,16.6
8/18/2015,6.8
8/19/2015,5.4
8/20/2015,3.9
8/21/2015,4.2
8/22/2015,5.5
8/23/2015,5.6
8/24/2015,7.2
8/25/2015,8
8/26/2015,11.2
8/27/2015,15.3
8/28/2015,15.6
8/29/2015,6.3
8/30/2015,7.5
8/31/2015,9.7
9/1/2015,6.7
9/2/2015,4.4
9/3/2015,4.5
9/4/2015,3.9
9/5/2015,6.5
9/6/2015,9.6
9/7/2015,11.2
9/8/2015,13.6
9/9/2015,16.7
9/10/2015,18.5
9/11/2015,16.5
9/12/2015,6.6
9/13/2015,11.3
9/14/2015,1.4
9/15/2015,1.8
9/16/2015,1.2
9/17/2015,4.4
9/18/2015,7.5
9/19/2015,10.3
9/20/2015,11.9
9/21/2015,14.1
9/22/2015,2.8
9/23/2015,7.3
9/24/2015,10.9
9/25/2015,10.6
9/26/2015,9.5
9/27/2015,8.1
9/28/2015,5.5
9/29/2015,2.5
9/30/2015,0.1
10/1/2015,3.9
10/2/2015,8
10/3/2015,4.2
10/4/2015,3.7
10/5/2015,4.2
10/6/2015,4.7
10/7/2015,6.9
10/8/2015,8.9
10/9/2015,8.5
10/10/2015,5.4
10/11/2015,8.1
10/12/2015,9.3
10/13/2015,12.5
10/14/2015,11.8
10/15/2015,7.1
10/16/2015,6.4
10/17/2015,1.9
10/18/2015,2.4
10/19/2015,2.8
10/20/2015,6.3
10/21/2015,6.5
10/22/2015,5.1
10/23/2015,4.9
10/24/2015,3.4
10/25/2015,3.5
10/26/2015,3.2
10/27/2015,1.7
10/28/2015,2.2
10/29/2015,5.6
10/30/2015,6.4
10/31/2015,5.3
