"name","cycle_no","ccl"
"customer_18",32956,12.5236994219653
"customer_18",32980,12.2365317919075
"customer_18",32886,11.9334104046243
"customer_11",10674,11.1833333333333
"customer_18",32908,10.891098265896
"customer_18",33040,10.4337572254335
"customer_18",33798,10.1625433526012
"customer_08",8148,9.83085714285714
"customer_11",10762,9.58333333333333
"customer_18",33012,9.47121387283237
"customer_15",28526,9.42090395480226
"customer_13",17000,8.25
"customer_18",32864,8.01942196531792
"customer_18",32932,7.9928323699422
"customer_15",27830,7.7071186440678
"customer_02",1598,7.59846153846154
"customer_15",27782,7.38598870056497
"customer_11",10564,7.36666666666667
"customer_15",27796,7.2483615819209
"customer_02",1700,7.14153846153846
"customer_11",10910,7.1
"customer_08",8094,7.07961904761905
"customer_18",32824,7.00369942196532
"customer_15",28188,6.75847457627119
"customer_18",33074,6.59421965317919
"customer_19",34096,6.56615384615385
"customer_13",15424,6.468
"customer_11",10836,6.46666666666667
"customer_02",1674,6.40876923076923
"customer_15",27754,6.31937853107345
"customer_18",33828,6.21664739884393
"customer_11",10998,6.11666666666667
"customer_15",28462,5.73118644067797
"customer_18",33298,5.63167630057803
"customer_15",27708,5.61649717514124
"customer_15",27856,5.5509604519774
"customer_13",15358,5.478
"customer_18",32734,5.36046242774566
"customer_11",11162,5.25
"customer_18",32804,5.22751445086705
"customer_18",33706,5.20624277456647
"customer_05",5822,5.2
"customer_09",8498,5.07233716475096
"customer_15",27592,4.96440677966102
"customer_18",33324,4.8393063583815
"customer_18",33656,4.82335260115607
"customer_03",2752,4.80523076923077
"customer_04",5708,4.71219512195122
"customer_18",32842,4.58936416184971
"customer_04",5702,4.58130081300813
"customer_02",1714,4.55230769230769
"customer_04",5598,4.54857723577236
"customer_04",5662,4.54857723577236
"customer_04",5696,4.46349593495935
"customer_15",28794,4.37785310734463
"customer_04",5642,4.33260162601626
"customer_16",28944,4.31817543859649
"customer_15",28582,4.30084745762712
"customer_03",3094,4.26502564102564
"customer_15",28282,4.25988700564972
"customer_04",5660,4.22134146341463
"customer_11",10470,4.21666666666667
"customer_15",28426,4.17141242937853
"customer_18",33306,4.12138728323699
"customer_13",15232,4.026
"customer_18",32710,4.00971098265896
"customer_13",14642,3.96
"customer_06",6272,3.93575829383886
"customer_05",5850,3.8
"customer_18",33154,3.7757225433526
"customer_04",5596,3.76975609756098
"customer_13",15748,3.762
"customer_18",33662,3.66404624277457
"customer_04",5652,3.60613821138211
"customer_15",27876,3.55536723163842
"customer_04",5706,3.55378048780488
"customer_18",32484,3.51514450867052
"customer_04",5646,3.48833333333333
"customer_22",41208,3.46067415730337
"customer_15",27638,3.45378531073446
"customer_05",5750,3.45
"customer_06",6142,3.44857819905213
"customer_08",8226,3.36457142857143
"customer_05",5748,3.35
"customer_05",5908,3.35
"customer_18",33718,3.3449710982659
"customer_16",29242,3.34245614035088
"customer_15",28756,3.34237288135593
"customer_15",27872,3.32598870056497
"customer_04",5628,3.25272357723577
"customer_05",5754,3.25
"customer_19",33998,3.24923076923077
"customer_04",5676,3.22654471544715
"customer_05",6136,3.2
"customer_18",32748,3.16947976878613
"customer_09",8524,3.15478927203065
"customer_05",5824,3.15
"customer_04",5656,3.14146341463415
"customer_08",8040,3.1367619047619
"customer_16",28924,3.13249122807018
"customer_22",42592,3.11460674157303
"customer_16",28942,3.1139649122807
