"index","datetime","amps"
1,08/28/17 12:36:50 PM,0.000
2,08/28/17 12:37:50 PM,0.000
3,08/28/17 12:38:50 PM,0.000
4,08/28/17 12:39:50 PM,0.000
5,08/28/17 12:40:50 PM,0.000
6,08/28/17 12:41:50 PM,0.000
7,08/28/17 12:42:50 PM,0.000
8,08/28/17 12:43:50 PM,0.000
9,08/28/17 12:44:50 PM,0.000
10,08/28/17 12:45:50 PM,0.000
11,08/28/17 12:46:50 PM,0.000
12,08/28/17 12:47:50 PM,0.000
13,08/28/17 12:48:50 PM,0.000
14,08/28/17 12:49:50 PM,0.000
15,08/28/17 12:50:50 PM,2.515
16,08/28/17 12:51:50 PM,0.010
17,08/28/17 12:52:50 PM,0.000
18,08/28/17 12:53:50 PM,0.000
19,08/28/17 12:54:50 PM,0.000
20,08/28/17 12:55:50 PM,11.414
21,08/28/17 12:56:50 PM,11.766
22,08/28/17 12:57:50 PM,11.526
23,08/28/17 12:58:50 PM,11.267
24,08/28/17 12:59:50 PM,11.346
25,08/28/17 01:00:50 PM,11.448
26,08/28/17 01:01:50 PM,11.580
27,08/28/17 01:02:50 PM,11.468
28,08/28/17 01:03:50 PM,11.409
29,08/28/17 01:04:50 PM,11.546
30,08/28/17 01:05:50 PM,11.643
31,08/28/17 01:06:50 PM,11.453
32,08/28/17 01:07:50 PM,11.639
33,08/28/17 01:08:50 PM,11.595
34,08/28/17 01:09:50 PM,11.546
35,08/28/17 01:10:50 PM,11.595
36,08/28/17 01:11:50 PM,11.609
37,08/28/17 01:12:50 PM,11.556
38,08/28/17 01:13:50 PM,11.736
39,08/28/17 01:14:50 PM,11.702
40,08/28/17 01:15:50 PM,11.702
41,08/28/17 01:16:50 PM,11.790
42,08/28/17 01:17:50 PM,11.673
43,08/28/17 01:18:50 PM,11.785
44,08/28/17 01:19:50 PM,11.927
45,08/28/17 01:20:50 PM,11.668
46,08/28/17 01:21:50 PM,11.814
47,08/28/17 01:22:50 PM,11.687
48,08/28/17 01:23:50 PM,11.678
49,08/28/17 01:24:50 PM,11.751
50,08/28/17 01:25:50 PM,11.790
51,08/28/17 01:26:50 PM,11.849
52,08/28/17 01:27:50 PM,11.829
53,08/28/17 01:28:50 PM,11.897
54,08/28/17 01:29:50 PM,11.873
55,08/28/17 01:30:50 PM,11.741
56,08/28/17 01:31:50 PM,11.785
57,08/28/17 01:32:50 PM,11.790
58,08/28/17 01:33:50 PM,11.941
59,08/28/17 01:34:50 PM,11.775
60,08/28/17 01:35:50 PM,11.956
61,08/28/17 01:36:50 PM,11.907
62,08/28/17 01:37:50 PM,12.020
63,08/28/17 01:38:50 PM,11.858
64,08/28/17 01:39:50 PM,11.883
65,08/28/17 01:40:50 PM,11.990
66,08/28/17 01:41:50 PM,11.937
67,08/28/17 01:42:50 PM,11.897
68,08/28/17 01:43:50 PM,11.966
69,08/28/17 01:44:50 PM,12.049
70,08/28/17 01:45:50 PM,11.976
71,08/28/17 01:46:50 PM,11.985
72,08/28/17 01:47:50 PM,11.853
73,08/28/17 01:48:50 PM,11.800
74,08/28/17 01:49:50 PM,12.039
75,08/28/17 01:50:50 PM,11.941
76,08/28/17 01:51:50 PM,11.961
77,08/28/17 01:52:50 PM,11.976
78,08/28/17 01:53:50 PM,11.917
79,08/28/17 01:54:50 PM,12.103
80,08/28/17 01:55:50 PM,12.220
81,08/28/17 01:56:50 PM,12.171
82,08/28/17 01:57:50 PM,12.244
83,08/28/17 01:58:50 PM,12.112
84,08/28/17 01:59:50 PM,11.985
85,08/28/17 02:00:50 PM,12.024
86,08/28/17 02:01:50 PM,12.088
87,08/28/17 02:02:50 PM,11.985
88,08/28/17 02:03:50 PM,12.024
89,08/28/17 02:04:50 PM,12.049
90,08/28/17 02:05:50 PM,12.059
91,08/28/17 02:06:50 PM,12.195
92,08/28/17 02:07:50 PM,12.200
93,08/28/17 02:08:50 PM,12.225
94,08/28/17 02:09:50 PM,12.269
95,08/28/17 02:10:50 PM,12.259
96,08/28/17 02:11:50 PM,12.215
97,08/28/17 02:12:50 PM,12.391
98,08/28/17 02:13:50 PM,12.420
99,08/28/17 02:14:50 PM,12.366
100,08/28/17 02:15:50 PM,12.381
101,08/28/17 02:16:50 PM,12.254
102,08/28/17 02:17:50 PM,12.396
103,08/28/17 02:18:50 PM,12.220
104,08/28/17 02:19:50 PM,12.181
105,08/28/17 02:20:50 PM,12.278
106,08/28/17 02:21:50 PM,12.317
107,08/28/17 02:22:50 PM,12.230
108,08/28/17 02:23:50 PM,12.156
109,08/28/17 02:24:50 PM,12.317
110,08/28/17 02:25:50 PM,12.161
111,08/28/17 02:26:50 PM,12.181
112,08/28/17 02:27:50 PM,12.317
113,08/28/17 02:28:50 PM,12.381
114,08/28/17 02:29:50 PM,12.347
115,08/28/17 02:30:50 PM,12.527
116,08/28/17 02:31:50 PM,12.386
117,08/28/17 02:32:50 PM,12.513
118,08/28/17 02:33:50 PM,12.469
119,08/28/17 02:34:50 PM,12.464
120,08/28/17 02:35:50 PM,12.542
121,08/28/17 02:36:50 PM,12.400
122,08/28/17 02:37:50 PM,12.601
123,08/28/17 02:38:50 PM,12.640
124,08/28/17 02:39:50 PM,12.674
125,08/28/17 02:40:50 PM,12.557
126,08/28/17 02:41:50 PM,12.464
127,08/28/17 02:42:50 PM,12.396
128,08/28/17 02:43:50 PM,12.581
129,08/28/17 02:44:50 PM,12.645
130,08/28/17 02:45:50 PM,12.669
131,08/28/17 02:46:50 PM,12.801
132,08/28/17 02:47:50 PM,12.645
133,08/28/17 02:48:50 PM,12.650
134,08/28/17 02:49:50 PM,12.708
135,08/28/17 02:50:50 PM,12.567
136,08/28/17 02:51:50 PM,12.620
137,08/28/17 02:52:50 PM,12.576
138,08/28/17 02:53:50 PM,12.615
139,08/28/17 02:54:50 PM,12.396
140,08/28/17 02:55:50 PM,12.454
141,08/28/17 02:56:50 PM,12.523
142,08/28/17 02:57:50 PM,12.425
143,08/28/17 02:58:50 PM,12.332
144,08/28/17 02:59:50 PM,12.498
145,08/28/17 03:00:50 PM,12.430
146,08/28/17 03:01:50 PM,12.518
147,08/28/17 03:02:50 PM,12.527
148,08/28/17 03:03:50 PM,12.591
149,08/28/17 03:04:50 PM,12.444
150,08/28/17 03:05:50 PM,12.537
151,08/28/17 03:06:50 PM,12.576
152,08/28/17 03:07:50 PM,12.542
153,08/28/17 03:08:50 PM,12.747
154,08/28/17 03:09:50 PM,12.576
155,08/28/17 03:10:50 PM,12.679
156,08/28/17 03:11:50 PM,12.527
157,08/28/17 03:12:50 PM,12.567
158,08/28/17 03:13:50 PM,12.835
159,08/28/17 03:14:50 PM,12.698
160,08/28/17 03:15:50 PM,12.391
161,08/28/17 03:16:50 PM,12.400
162,08/28/17 03:17:50 PM,12.503
163,08/28/17 03:18:50 PM,12.454
164,08/28/17 03:19:50 PM,12.547
165,08/28/17 03:20:50 PM,12.532
166,08/28/17 03:21:50 PM,12.747
167,08/28/17 03:22:50 PM,12.625
168,08/28/17 03:23:50 PM,12.601
169,08/28/17 03:24:50 PM,12.855
170,08/28/17 03:25:50 PM,12.767
171,08/28/17 03:26:50 PM,12.723
172,08/28/17 03:27:50 PM,12.601
173,08/28/17 03:28:50 PM,12.684
174,08/28/17 03:29:50 PM,12.576
175,08/28/17 03:30:50 PM,12.713
176,08/28/17 03:31:50 PM,12.747
177,08/28/17 03:32:50 PM,12.571
178,08/28/17 03:33:50 PM,12.650
179,08/28/17 03:34:50 PM,12.694
180,08/28/17 03:35:50 PM,12.777
