"name","threshold","sigma","k"
"customer_01",0.25,0.111219175693352,0.187679943663575
"customer_02",0.5,0.793015171628393,0.760051155751251
"customer_03",0.29,0.189303499207796,0.230391156058133
"customer_04",0.5,2.76983256376102,0.0804006913301557
"customer_05",0.2,1.14072109128947,0.0262566798097795
"customer_06",0.5,0.942133460333172,0.173042819521628
"customer_07",0.5,0.527807635224347,0.273089604965959
"customer_08",0.25,0.331848104145216,1.02288545009944
"customer_09",0.23,0.28823494375716,0.554038549816301
"customer_10",0.15,0.106611238359832,0.321062383947242
"customer_11",0.6,1.365923668219,0.868473878868748
"customer_12",0.2,0.0593726769361088,0.3752400726628
"customer_13",0.3,0.129732609270478,0.799523140479045
"customer_14",0.1,0.0089371881518646,1.57633314384713
"customer_15",0.8,1.45794394857062,0.389807482111387
"customer_16",0.3,0.293084627462922,0.798119642026563
"customer_17",0.4,0.329529485985068,0.197966085110311
"customer_18",1,2.01759442356329,0.38747521705962
"customer_19",0.3,0.113364441262125,0.417927485481636
